gene,SchleicherMoldovan2020.NT1-VE822,DeWeirdtDoench2020_secondary.pDNA_pDNA-Control_S63845,VermaGreenberg2021.CAPAN1_T7_UT-CAPAN1_T7_OLA,BenslimaneHarrington2020_jurkat.DMSO_D12-Resveratrol_D12,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_Camp_1,VermaGreenberg2021.SUM149PT_T7_UT-SUM149PT_T7_OLA,SuChen2020.HCT116_WT_T0_2-HCT116_WT_Olap_2,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_MitoC_1,WeegenLuijsterburg2021.wt_illudins-elof1_illudins,DeWeirdtDoench2020_secondary.pDNA_pDNA-MCL1KO_anchor_Dropout,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_HU_1,WeegenLuijsterburg2021.elof1_init-elof1_nt_both,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_Camp_1,SuChen2020.HCT116_WT_DMSO_2-HCT116_WT_Olap_2,SuChen2020.HCT116_TP53ko_T0_2-HCT116_TP53ko_DMSO_2,DeWeirdtDoench2020_secondary.Control_Dropout-Control_S63845,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_CHK1i_1,GalloDurocher2022_TKOv2.WT_T18-CCNE1_T18,DeWeirdtDoench2020_secondary.Control_Dropout-MCL1KO_anchor_Dropout,GalloDurocher2022_TKOv2.WT_T0-WT_T18
TES,0.0203,,,0.756,,,,,0.604,,,0.693,,,,,,0.767,,0.781
APOBEC3F,0.638,,,0.648,,,,,0.505,,,0.636,,,,,,0.669,,0.528
PLA2G4D,0.404,,,0.887,,,,,0.887,,,0.551,,,,,,0.0764,,0.801
LSM1,0.927,,,0.514,,,,,0.482,,,0.787,,,,,,0.442,,0.796
SLC7A8,0.283,,,0.48,,,,,0.304,,,0.714,,,,,,0.243,,0.611
AJUBA,0.147,,,0.714,,,,,0.853,,,0.658,,,,,,0.984,,0.559
UBE2T,0.753,,,0.68,0.0879,,0.454,0.137,0.719,,0.392,0.348,0.38,0.229,0.687,,0.6,0.644,,0.336
AXIN1,0.826,,,0.914,,,,,0.237,,,0.918,,,,,,5.33e-16,,0.994
DUSP12,0.894,,,0.0765,,,,,0.556,,,0.361,,,,,,0.651,,0.0874
CXorf38,0.589,,,0.259,,,,,0.461,,,0.609,,,,,,0.826,,0.661
FRMD5,0.175,,,0.81,,,,,0.416,,,0.706,,,,,,0.0295,,0.846
FRMD6,0.639,,,0.742,,,,,0.42,,,0.866,,,,,,0.321,,0.944
FANCE,0.469,,,0.512,0.297,,0.523,0.105,0.252,,0.72,0.53,0.467,0.259,0.729,,0.575,0.533,,0.775
HRNR,0.698,,,0.104,,,,,0.418,,,0.6,,,,,,0.679,,0.797
MCM3AP,0.913,,,0.772,,,,,0.666,,,0.0559,,,,,,0.758,,0.0766
KRT77,0.57,,,0.995,,,,,0.531,,,0.522,,,,,,0.586,,0.527
HMCES,0.774,,,0.0929,,,,,0.998,,,0.48,,,,,,0.864,,0.406
GLRX3,0.743,,,0.819,,,,,0.55,,,0.268,,,,,,0.425,,0.0955
GUCD1,0.297,,,0.12,,,,,0.436,,,0.463,,,,,,0.512,,0.539
DCAF6,0.719,,,0.564,,,,,0.823,,,0.611,,,,,,0.831,,0.403
TMEM158,0.427,,,0.727,,,,,0.0414,,,0.672,,,,,,0.427,,0.476
SHF,0.915,,,0.302,,,,,0.887,,,0.649,,,,,,0.366,,0.596
MARCO,0.359,,,0.728,,,,,0.41,,,0.623,,,,,,0.798,,0.857
MAGEC2,0.693,,,0.788,,,,,0.89,,,0.608,,,,,,0.21,,0.408
UBE2G1,0.37,,,0.000326,,,,,1.0,,,0.745,,,,,,0.174,,0.837
COG1,0.816,,,0.869,,,,,0.893,,,0.0311,,,,,,0.981,,0.00373
MIEN1,0.499,,,0.128,,,,,0.048,,,0.555,,,,,,0.512,,0.235
UCHL1,0.559,,,0.799,,,,,0.798,,,0.699,,,,,,0.0708,,0.725
SNRNP35,0.316,,,0.795,,,,,0.899,,,0.00883,,,,,,0.948,,0.046
WNT4,0.416,,,0.64,,,,,0.181,,,0.445,,,,,,0.924,,0.129
EIF3K,0.627,,,0.652,,,,,0.285,,,0.49,,,,,,0.147,,0.189
NUP54,0.0903,,,0.48,,,,,0.978,,,0.0564,,,,,,0.32,,0.0171
SPC24,0.951,,,0.572,0.699,,0.0948,0.778,0.686,,0.899,0.015,0.16,0.493,0.043,,0.0707,0.672,,0.000189
SEM1,0.815,,,0.025,0.545,,0.18,0.425,0.432,,0.822,0.0604,0.197,0.309,0.163,,0.225,0.621,,0.315
SEPTIN10,0.213,0.603,,0.798,,,,,0.351,0.591,,0.597,,,,0.377,,0.564,0.382,0.665
CD300LD-AS1,0.866,,,0.24,,,,,0.407,,,0.703,,,,,,0.193,,0.424
HOXB13,0.516,,,0.275,,,,,0.0992,,,0.617,,,,,,0.318,,0.896
DEFB121,0.854,,,0.679,,,,,0.655,,,0.786,,,,,,0.337,,0.619
NAT1,0.339,,,0.299,,,,,0.426,,,0.666,,,,,,0.146,,0.791
RFC5,0.676,0.124,,0.623,0.427,,0.201,0.597,0.861,0.177,0.59,6.29e-05,0.17,0.342,0.185,0.722,0.284,0.244,0.922,0.00232
WRN,0.904,,,0.552,0.316,,0.0556,0.507,0.389,,0.32,0.653,0.648,0.52,0.00864,,0.703,0.427,,0.599
SPESP1,0.4,,,0.57,,,,,0.85,,,0.66,,,,,,0.228,,0.633
FAM106A,,,,0.923,,,,,0.901,,,0.274,,,,,,0.697,,0.0408
FAM200A,0.0836,,,0.227,,,,,0.225,,,0.657,,,,,,0.597,,0.266
RUNX2,0.921,,,0.595,,,,,0.0353,,,0.776,,,,,,0.192,,0.916
ATG13,0.0835,,,0.157,,,,,0.713,,,0.605,,,,,,0.471,,0.559
MYT1,0.951,,,0.406,,,,,0.0848,,,0.721,,,,,,0.711,,0.502
STARD7,0.804,,,0.934,,,,,0.46,,,0.507,,,,,,0.0727,,0.485
POGLUT2,0.0895,,,0.815,,,,,0.548,,,0.729,,,,,,0.504,,0.751
PTRH2,,,,0.897,,,,,0.833,,,0.448,,,,,,0.0798,,0.512
ECHDC2,0.121,,,0.058,,,,,0.0364,,,0.455,,,,,,0.317,,0.373
PGAP3,0.469,,,0.826,,,,,0.553,,,0.523,,,,,,0.78,,0.732
MXRA7,0.134,,,0.207,,,,,0.519,,,0.487,,,,,,0.703,,0.601
PPP2R1A,0.65,0.0132,,0.707,,,,,0.88,0.0183,,0.0728,,,,0.118,,0.327,0.741,0.00592
SBK1,0.712,,,0.0242,,,,,0.366,,,0.508,,,,,,0.736,,0.618
COPS5,0.226,0.0946,,0.506,,,,,0.99,0.0437,,0.000177,,,,0.279,,0.000601,0.201,0.011
SAR1A,0.999,,,0.673,,,,,0.205,,,0.722,,,,,,0.115,,0.645
PCBP2,0.723,,,0.295,,,,,0.979,,,0.339,,,,,,0.154,,0.538
UFM1,0.618,,,0.791,,,,,0.96,,,0.526,,,,,,0.0413,,0.526
PLPPR5,0.579,,,0.272,,,,,0.532,,,0.615,,,,,,0.374,,0.444
MYO15A,0.189,,,0.914,,,,,0.203,,,0.379,,,,,,0.109,,0.69
ETS2,0.234,,,0.835,,,,,0.889,,,0.87,,,,,,0.828,,0.48
TMEM41B,0.57,,,0.152,,,,,0.851,,,0.375,,,,,,0.0724,,0.165
CHRNA9,0.938,,,0.135,,,,,0.195,,,0.715,,,,,,0.576,,0.292
ELOB,0.971,0.0391,,0.0892,0.241,,0.0995,0.21,0.953,0.0197,0.646,0.0219,0.026,0.52,0.0637,0.00496,0.0697,0.0413,0.0122,0.0228
DECR1,0.353,,,0.78,,,,,0.116,,,0.617,,,,,,0.495,,0.818
NUP188,0.793,,,0.0964,,,,,0.0881,,,0.113,,,,,,0.871,,0.103
POM121,0.84,,,0.74,,,,,0.851,,,0.514,,,,,,0.253,,0.822
RNF113A,0.628,0.203,,0.0325,,,,,0.477,0.111,,0.000352,,,,0.0942,,0.035,0.0794,0.0678
PHKG1,0.861,,,0.301,,,,,0.543,,,0.532,,,,,,0.555,,0.584
EIF5A2,0.303,,,0.783,,,,,0.54,,,0.645,,,,,,0.247,,0.318
ZNHIT3,0.975,,,0.87,,,,,0.972,,,0.00145,,,,,,0.368,,0.00107
FLCN,0.882,0.584,,0.546,,,,,0.457,0.603,,0.92,,,,0.263,,0.0941,0.463,0.935
HSP90AB1,0.0399,0.43,,0.481,,,,,0.464,0.0329,,0.244,,,,0.479,,0.275,1.88e-09,0.779
POLR1H,0.748,,,0.724,,,,,0.89,,,0.0146,,,,,,0.317,,0.142
INTS7,0.453,,,0.949,,,,,0.651,,,0.00904,,,,,,0.416,,0.0242
ARHGEF40,0.636,0.789,,0.000986,,,,,0.51,0.831,,0.569,,,,0.65,,0.834,0.666,0.419
TTC28,0.89,,,0.761,,,,,0.577,,,0.705,,,,,,0.486,,0.449
PRICKLE2,0.111,,,0.143,,,,,0.00666,,,0.633,,,,,,0.848,,0.709
KAT14,0.159,,,0.813,,,,,0.579,,,0.432,,,,,,0.00334,,0.42
ZNF607,0.438,,,0.336,,,,,0.605,,,0.735,,,,,,0.297,,0.602
NPLOC4,0.52,,,0.755,,,,,0.994,,,0.072,,,,,,7.1e-05,,0.136
USP18,0.828,,,0.273,,,,,0.123,,,0.378,,,,,,0.00345,,0.497
CTCFL,0.901,,,0.163,,,,,0.669,,,0.639,,,,,,0.658,,0.736
ALOX12B,0.952,,,0.744,,,,,0.0113,,,0.594,,,,,,0.712,,0.729
USP1,0.921,,,0.758,0.387,,0.494,0.402,0.168,,0.763,0.383,0.395,0.358,0.696,,0.58,0.977,,0.0837
MTX1,0.799,,,0.418,,,,,0.0927,,,0.203,,,,,,0.813,,0.247
MRGBP,0.949,,,0.183,,,,,0.94,,,0.375,,,,,,0.419,,0.115
ATP2B4,0.747,,,0.258,,,,,0.428,,,0.509,,,,,,0.431,,0.628
CAND2,0.818,,,0.499,,,,,0.122,,,0.504,,,,,,0.178,,0.702
CCNB3,0.016,,,0.936,,,,,0.909,,,0.614,,,,,,0.211,,0.824
HTR4,0.774,,,0.631,,,,,0.782,,,0.735,,,,,,0.528,,0.565
ASB10,0.251,,,0.3,,,,,0.232,,,0.562,,,,,,0.646,,0.814
ZNF330,0.43,,,0.454,,,,,0.797,,,0.692,,,,,,0.668,,0.52
FRYL,0.212,,,0.274,,,,,0.00843,,,0.947,,,,,,1.09e-06,,1.0
ASH2L,0.92,,,0.912,,,,,0.986,,,0.284,,,,,,0.302,,0.24
SLC1A5,0.146,,,0.793,,,,,0.919,,,0.523,,,,,,0.248,,0.846
EXOSC3,0.733,,,0.325,,,,,0.865,,,0.000564,,,,,,0.169,,0.0638
DMPK,0.336,,,0.219,,,,,0.139,,,0.608,,,,,,0.381,,0.43
THAP10,0.836,,,0.0215,,,,,0.271,,,0.731,,,,,,0.759,,0.572
FGF7,0.817,,,0.829,,,,,0.617,,,0.733,,,,,,0.065,,0.745
DYNC1H1,0.0273,,,0.0999,,,,,0.943,,,0.000979,,,,,,0.565,,9.16e-05
RAPGEF4,0.774,,,0.148,,,,,0.485,,,0.559,,,,,,0.599,,0.57
ERCC2,0.274,,,0.993,0.587,,0.242,0.327,0.962,,0.885,0.00188,0.174,0.424,0.227,,0.102,0.586,,0.0103
SERBP1,0.445,,,0.937,,,,,0.981,,,0.474,,,,,,0.0775,,0.551
AIP,0.544,,,0.163,,,,,0.4,,,0.369,,,,,,0.0668,,0.9
MX2,0.0417,,,0.551,,,,,0.487,,,0.642,,,,,,0.292,,0.624
RRP1B,0.348,,,0.514,,,,,0.263,,,0.65,,,,,,0.796,,0.588
ARHGAP29,0.74,0.571,,0.594,,,,,0.987,0.638,,0.624,,,,0.584,,2.33e-07,0.761,0.923
RNF32-DT,,,,0.751,,,,,0.144,,,0.742,,,,,,0.948,,0.613
PLEKHJ1,0.0226,,,0.348,,,,,0.884,,,0.593,,,,,,0.0131,,0.584
TSGA10,0.38,,,0.759,,,,,0.588,,,0.64,,,,,,0.628,,0.534
CCDC181,0.359,,,0.0299,,,,,0.772,,,0.625,,,,,,0.522,,0.541
NPRL2,0.43,,,0.274,,,,,0.32,,,0.566,,,,,,0.322,,0.835
ZNF280B,0.529,,,0.0726,,,,,0.677,,,0.56,,,,,,0.853,,0.555
INTS8,0.656,0.252,,0.93,,,,,0.0334,0.227,,1.13e-06,,,,0.438,,0.468,0.486,0.000933
FOXO1,0.505,,,0.0652,,,,,0.0448,,,0.628,,,,,,0.534,,0.859
SOCS7,0.673,,,0.667,,,,,0.072,,,0.554,,,,,,0.0181,,0.808
ACTR6,0.283,,,0.00247,,,,,0.994,,,0.0193,,,,,,0.024,,0.00942
ELOF1,0.991,,,0.159,,,,,1.0,,,0.681,,,,,,1.0,,0.0729
DNAJC9,0.122,0.000792,,0.000167,,,,,0.742,0.00106,,2.18e-05,,,,0.678,,0.00335,0.854,4.49e-05
KRT25,0.527,,,0.353,,,,,0.629,,,0.593,,,,,,0.178,,0.918
ZNF593,0.399,0.555,,0.000828,,,,,0.287,0.481,,0.488,,,,0.57,,0.335,0.268,0.609
NMS,0.427,,,0.387,,,,,0.641,,,0.627,,,,,,0.285,,0.646
N6AMT1,0.867,,,0.863,,,,,0.955,,,0.173,,,,,,0.107,,0.239
LAMP5,0.603,,,0.0046,,,,,0.286,,,0.711,,,,,,0.983,,0.584
POLE4,0.502,,,0.223,0.0019,,0.0666,0.0266,0.742,,0.00459,0.484,0.122,0.00172,0.745,,0.217,0.282,,0.558
DUT,0.926,,,0.981,0.609,,0.0936,0.419,0.998,,0.745,0.0346,0.232,0.44,0.0355,,0.207,1.33e-06,,0.232
ZNHIT1,0.355,,,0.0769,,,,,0.674,,,0.304,,,,,,0.00482,,0.173
TMEM214,0.683,,,0.0235,,,,,0.293,,,0.621,,,,,,0.261,,0.613
CHAF1A,0.136,,,0.398,0.862,,0.434,0.938,0.846,,0.982,0.000857,0.518,0.813,0.277,,0.189,0.58,,0.047
CPT1A,0.816,,,0.764,,,,,0.65,,,0.63,,,,,,0.945,,0.676
PYGL,0.134,,,0.0897,,,,,0.577,,,0.611,,,,,,0.598,,0.454
ATP2B3,0.333,,,0.565,,,,,0.704,,,0.584,,,,,,0.965,,0.487
GHDC,0.796,,,0.0628,,,,,0.953,,,0.45,,,,,,0.44,,0.356
SOGA1,0.415,,,0.864,,,,,0.218,,,0.685,,,,,,0.634,,0.629
ADCYAP1R1,0.236,,,0.58,,,,,0.107,,,0.615,,,,,,0.568,,0.657
WDR4,0.216,,,0.86,,,,,0.979,,,0.225,,,,,,0.627,,0.0246
EEF2,0.262,,,0.238,,,,,0.769,,,4.6e-07,,,,,,0.258,,0.000231
FBN3,0.0487,,,0.322,,,,,0.102,,,0.528,,,,,,0.493,,0.782
GPR15,0.283,,,0.637,,,,,0.837,,,0.659,,,,,,0.25,,0.767
SCNN1G,0.873,,,0.227,,,,,0.414,,,0.53,,,,,,0.17,,0.847
CAPZB,0.767,,,0.844,,,,,0.961,,,0.346,,,,,,2.8000000000000002e-59,,0.946
TMEM212,0.559,,,0.824,,,,,0.403,,,0.734,,,,,,0.623,,0.659
NDUFB7,0.548,0.462,,0.367,,,,,0.752,0.625,,0.165,,,,0.777,,0.252,0.978,0.353
SRSF5,0.0856,,,0.925,,,,,0.815,,,0.666,,,,,,0.747,,0.282
COQ10A,0.888,,,0.831,,,,,0.385,,,0.445,,,,,,0.795,,0.323
NUFIP2,0.44,,,0.78,,,,,0.0747,,,0.286,,,,,,0.723,,0.557
CORO2B,0.181,,,0.993,,,,,0.605,,,0.685,,,,,,0.42,,0.687
PLCXD2,0.81,,,0.424,,,,,0.763,,,0.685,,,,,,0.653,,0.743
PDK4,0.164,,,0.216,,,,,0.27,,,0.689,,,,,,0.912,,0.688
EXT2,0.847,,,0.391,,,,,0.365,,,0.449,,,,,,0.0648,,0.548
SUCO,0.0127,,,0.353,,,,,0.277,,,0.212,,,,,,0.487,,0.117
NFIL3,0.674,,,0.336,,,,,0.969,,,0.651,,,,,,0.792,,0.784
STX10,0.626,,,0.107,,,,,0.164,,,0.646,,,,,,0.709,,0.386
ZSWIM5,0.786,,,0.281,,,,,0.499,,,0.584,,,,,,0.567,,0.585
RPA2,0.00672,,,0.631,0.259,,0.0223,0.431,0.328,,0.578,4.6e-06,0.111,0.424,0.0354,,0.0434,0.984,,8.71e-05
ATP6V0E1,0.834,,,0.18,,,,,0.846,,,0.668,,,,,,0.159,,0.571
VCPKMT,0.422,,,0.494,,,,,0.789,,,0.561,,,,,,0.888,,0.204
CRP,0.709,,,0.117,,,,,0.308,,,0.552,,,,,,0.368,,0.822
CCDC146,0.956,,,0.447,,,,,0.886,,,0.68,,,,,,0.358,,0.459
MYG1,0.643,,,0.675,,,,,0.164,,,0.398,,,,,,0.934,,0.284
CHST14,0.608,,,0.741,,,,,0.685,,,0.685,,,,,,0.372,,0.514
NACAD,0.387,,,0.457,,,,,0.509,,,0.621,,,,,,0.865,,0.389
ORAI1,0.733,,,0.699,,,,,0.452,,,0.611,,,,,,0.156,,0.641
CDK5R1,0.0638,,,0.938,,,,,0.0361,,,0.441,,,,,,0.504,,0.178
USP15,0.231,,,0.205,,,,,0.566,,,0.212,,,,,,0.224,,0.297
DUSP4,0.787,0.0021,,0.748,,,,,0.318,0.0035,,0.701,,,,0.0513,,0.761,0.703,0.861
KCNJ2,0.862,0.83,,0.713,,,,,0.187,0.763,,0.709,,,,0.897,,0.315,0.223,0.661
KSR1,0.864,,,0.756,,,,,0.369,,,0.591,,,,,,0.584,,0.583
SOAT2,0.789,,,0.429,,,,,0.818,,,0.345,,,,,,0.394,,0.333
PSMB8,0.0806,,,0.25,,,,,0.333,,,0.714,,,,,,0.408,,0.565
COPS7A,0.612,,,0.646,,,,,0.99,,,0.78,,,,,,4.83e-06,,0.758
KIRREL1,0.195,,,0.783,,,,,0.0226,,,0.983,,,,,,0.106,,1.0
NEURL4,0.982,,,0.692,,,,,0.976,,,0.566,,,,,,0.15,,0.431
PIN4,0.325,,,0.531,,,,,0.442,,,0.499,,,,,,0.18,,0.346
PPM1F,0.639,,,0.784,,,,,0.739,,,0.775,,,,,,0.228,,0.935
HIGD1B,0.95,,,0.559,,,,,0.923,,,0.398,,,,,,0.854,,0.593
TADA2A,0.122,0.389,,0.979,,,,,0.2,0.489,,0.234,,,,0.375,,0.0123,0.836,0.235
RNASE3,0.492,,,0.682,,,,,0.671,,,0.629,,,,,,0.311,,0.781
IKZF3,0.539,,,0.432,,,,,0.335,,,0.526,,,,,,0.599,,0.4
MAP3K12,0.594,,,0.951,,,,,0.366,,,0.611,,,,,,0.0591,,0.652
TTC39C,0.891,,,0.328,,,,,0.668,,,0.606,,,,,,0.369,,0.589
AHSA1,0.371,,,0.847,,,,,0.793,,,0.709,,,,,,0.319,,0.707
XRN1,0.854,,,0.0158,,,,,0.99,,,0.159,,,,,,0.109,,0.353
KPRP,0.545,0.729,,0.788,,,,,0.174,0.72,,0.334,,,,0.598,,0.474,0.416,0.528
PSMG3,0.147,,,0.466,0.682,,0.00381,0.472,0.923,,0.749,6.7e-05,0.0436,0.407,0.000682,,0.0191,0.4,,1.58e-06
FAAP20,0.888,,,0.782,0.554,,0.526,0.551,0.669,,0.543,0.393,0.504,0.624,0.572,,0.474,0.615,,0.348
COPS2,0.703,,,0.0764,,,,,0.988,,,0.00293,,,,,,0.000117,,0.296
C4BPA,0.368,,,0.885,,,,,0.227,,,0.618,,,,,,0.422,,0.558
OR5T3,0.248,,,0.674,,,,,0.912,,,0.654,,,,,,0.212,,0.919
IGBP1,0.715,,,0.86,,,,,0.807,,,0.000925,,,,,,0.0459,,0.0131
STXBP6,0.615,,,0.385,,,,,0.978,,,0.728,,,,,,0.459,,0.629
ZNF106,0.608,,,0.0248,,,,,0.883,,,0.616,,,,,,0.289,,0.692
TWIST1,0.495,,,0.329,,,,,0.336,,,0.657,,,,,,0.18,,0.282
NXF1,0.0207,,,0.596,,,,,0.936,,,1.9e-05,,,,,,0.268,,0.362
CRCP,0.362,,,0.156,,,,,0.567,,,0.000565,,,,,,0.561,,0.00138
ZNF101,0.0519,,,0.717,,,,,0.637,,,0.316,,,,,,0.634,,0.727
COX7A2,0.233,0.721,,0.183,,,,,0.701,0.764,,0.416,,,,0.585,,0.165,0.658,0.411
ADPGK,0.457,,,0.103,,,,,0.928,,,0.684,,,,,,0.097,,0.701
DFFA,0.233,,,0.885,,,,,0.211,,,0.622,,,,,,0.553,,0.923
S1PR5,0.464,,,0.138,,,,,0.312,,,0.581,,,,,,0.618,,0.529
NKD2,0.227,,,0.661,,,,,0.79,,,0.564,,,,,,0.61,,0.507
HTRA4,0.284,,,0.642,,,,,0.305,,,0.609,,,,,,0.953,,0.573
DCLRE1C,0.695,,,0.945,0.287,,0.781,0.333,0.52,,0.112,0.608,0.608,0.735,0.727,,0.733,0.241,,0.658
RETREG3,0.726,,,0.491,,,,,0.275,,,0.457,,,,,,0.981,,0.198
UBXN1,0.755,,,0.61,,,,,0.41,,,0.595,,,,,,0.339,,0.538
GINS4,0.742,,,0.423,,,,,0.997,,,0.0594,,,,,,0.697,,0.00804
ANK3,0.422,0.845,,0.151,,,,,0.784,0.838,,0.663,,,,0.706,,0.983,0.392,0.675
MASTL,0.834,,,0.875,,,,,0.987,,,1.27e-05,,,,,,0.963,,0.000729
POLD2,0.999,0.00781,,0.6,0.716,,0.0678,0.358,0.864,0.0153,0.972,0.00283,0.156,0.372,0.0296,0.132,0.105,0.86,0.861,0.000395
TLCD1,0.0784,,,0.219,,,,,0.644,,,0.255,,,,,,0.0279,,0.459
ZDHHC24,0.715,,,0.461,,,,,0.000585,,,0.521,,,,,,0.88,,0.494
HIPK4,0.903,,,0.8,,,,,0.0943,,,0.594,,,,,,0.473,,0.745
TROAP,0.605,,,0.752,,,,,0.884,,,0.468,,,,,,0.88,,0.474
RAD17,0.0455,,,0.00011,0.376,,0.112,0.185,0.926,,0.151,0.105,0.202,0.152,0.172,,0.0555,0.312,,0.046
UBA5,0.206,0.233,,0.203,,,,,0.999,0.284,,0.245,,,,0.585,,0.48,0.836,0.295
PNMA8A,0.26,,,0.105,,,,,0.196,,,0.634,,,,,,0.142,,0.719
RER1,0.318,,,0.44,,,,,0.832,,,0.332,,,,,,0.48,,0.14
ENTHD1,0.461,,,0.635,,,,,0.193,,,0.574,,,,,,0.811,,0.333
BRINP2,0.418,,,0.165,,,,,0.494,,,0.679,,,,,,0.826,,0.408
C1GALT1,0.533,,,0.795,,,,,0.212,,,0.687,,,,,,0.29,,0.833
FAM170B,0.911,,,0.254,,,,,0.0979,,,0.634,,,,,,0.0514,,0.526
RUNX1T1,0.504,,,0.639,,,,,0.4,,,0.69,,,,,,0.906,,0.748
ETFA,0.915,,,0.775,,,,,0.623,,,0.729,,,,,,0.13,,0.839
CACNG1,0.33,0.725,,0.478,,,,,0.678,0.722,,0.666,,,,0.593,,0.512,0.46,0.411
GORAB,0.287,,,0.785,,,,,0.204,,,0.481,,,,,,0.738,,0.717
RNASE11,0.173,,,0.698,,,,,0.157,,,0.706,,,,,,0.471,,0.608
PEX11A,0.297,,,0.699,,,,,0.751,,,0.703,,,,,,0.114,,0.753
OR7C1,0.982,,,0.182,,,,,0.534,,,0.562,,,,,,0.623,,0.655
CHSY1,0.192,,,0.215,,,,,0.127,,,0.708,,,,,,0.766,,0.57
PLXND1,0.112,,,0.543,,,,,0.355,,,0.706,,,,,,0.503,,0.866
RSKR,0.68,,,0.338,,,,,0.785,,,0.391,,,,,,0.0421,,0.526
STAT1,0.759,0.785,,0.745,,,,,0.736,0.743,,0.626,,,,0.939,,0.129,0.445,0.545
TELO2,0.437,,,0.286,0.195,,0.332,0.343,0.999,,0.468,0.0154,0.0914,0.433,0.343,,0.154,0.681,,9.79e-06
ARL8A,0.901,,,0.491,,,,,0.773,,,0.598,,,,,,0.221,,0.576
USP36,0.112,,,0.212,,,,,0.917,,,0.259,,,,,,0.25,,0.336
RALGPS1,0.342,,,0.773,,,,,0.323,,,0.673,,,,,,0.523,,0.63
GABRB2,0.632,,,0.645,,,,,0.82,,,0.609,,,,,,0.789,,0.645
BOD1L1,0.98,0.355,,0.284,,,,,0.335,0.399,,0.0767,,,,0.0586,,0.877,0.46,0.019
MAP3K8,0.974,,,0.474,,,,,0.684,,,0.756,,,,,,0.313,,0.835
STAT5B,0.616,,,0.436,,,,,0.0359,,,0.49,,,,,,0.269,,0.391
ADRA2A,0.983,,,0.81,,,,,0.106,,,0.63,,,,,,0.335,,0.623
MPST,0.202,,,0.567,,,,,0.342,,,0.624,,,,,,0.537,,0.345
GFPT1,0.758,,,0.806,,,,,0.805,,,0.66,,,,,,0.0984,,0.502
KLHL10,0.899,,,0.924,,,,,0.43,,,0.483,,,,,,0.419,,0.481
VPS13B,0.352,,,0.461,,,,,0.364,,,0.588,,,,,,0.269,,0.743
FBH1,0.791,,,0.794,,,,,0.401,,,0.694,,,,,,0.353,,0.601
ORM1,0.882,,,0.943,,,,,0.37,,,0.647,,,,,,0.254,,0.8
ERN2,0.428,,,0.983,,,,,0.521,,,0.565,,,,,,0.16,,0.505
OGA,0.62,,,0.66,,,,,0.977,,,0.434,,,,,,0.0151,,0.573
TNIK,0.959,,,0.381,,,,,0.454,,,0.628,,,,,,0.514,,0.699
CTDNEP1,0.0913,,,0.92,,,,,0.984,,,0.00449,,,,,,0.968,,4.29e-05
SNAPC4,0.375,,,0.311,,,,,0.985,,,0.00213,,,,,,0.903,,0.108
HDDC3,0.44,0.763,,0.242,,,,,0.568,0.77,,0.722,,,,0.37,,0.549,0.391,0.793
ITGAL,0.56,,,0.736,,,,,0.538,,,0.565,,,,,,0.591,,0.719
TRIP12,0.708,0.887,,0.632,,,,,0.43,0.612,,0.731,,,,0.544,,0.236,5.74e-05,0.717
GATAD2A,0.0256,,,0.34,,,,,0.717,,,0.308,,,,,,0.0543,,0.819
SCG3,0.235,,,0.86,,,,,0.97,,,0.672,,,,,,0.0355,,0.857
MOGS,0.573,,,0.341,,,,,0.156,,,0.235,,,,,,0.0524,,0.39
CCM2,0.751,,,0.756,,,,,0.00417,,,0.524,,,,,,6.87e-05,,0.939
ARHGAP35,0.569,,,0.874,,,,,0.82,,,0.851,,,,,,0.536,,0.889
PIF1,0.422,,,0.689,0.717,,0.743,0.092,0.402,,0.000473,0.717,0.854,0.738,0.702,,0.76,0.722,,0.445
PTCRA,0.754,,,0.924,,,,,0.494,,,0.566,,,,,,0.291,,0.759
MAP2K4,0.149,,,0.511,,,,,0.69,,,0.681,,,,,,0.64,,0.342
CLEC4F,0.112,,,0.492,,,,,0.662,,,0.605,,,,,,0.0742,,0.728
RNF40,0.709,,,0.629,,,,,0.994,,,0.0623,,,,,,0.917,,0.0247
TMTC1,0.0462,,,0.807,,,,,0.0653,,,0.612,,,,,,0.486,,0.702
SULT1A2,0.323,,,0.18,,,,,0.268,,,0.696,,,,,,0.538,,0.731
KLHDC1,0.343,,,0.895,,,,,0.71,,,0.543,,,,,,0.603,,0.448
PLEKHF2,0.7,,,0.402,,,,,0.146,,,0.611,,,,,,0.283,,0.692
PLPP7,0.382,,,0.953,,,,,0.45,,,0.578,,,,,,0.373,,0.361
XRCC6,0.154,,,0.649,0.0481,,0.113,0.278,0.946,,0.312,0.000383,0.0343,0.341,0.179,,0.249,0.89,,0.000767
C15orf61,0.887,,,0.962,,,,,0.0706,,,0.803,,,,,,0.694,,0.759
BCLAF1,0.768,,,0.112,,,,,0.628,,,0.312,,,,,,0.546,,0.143
CST9L,0.516,,,0.501,,,,,0.267,,,0.507,,,,,,0.527,,0.46
HEPHL1,0.718,,,0.566,,,,,0.934,,,0.554,,,,,,0.511,,0.689
