gene,SchleicherMoldovan2020.NT1-VE822,DeWeirdtDoench2020_secondary.pDNA_pDNA-Control_S63845,VermaGreenberg2021.CAPAN1_T7_UT-CAPAN1_T7_OLA,BenslimaneHarrington2020_jurkat.DMSO_D12-Resveratrol_D12,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_Camp_1,VermaGreenberg2021.SUM149PT_T7_UT-SUM149PT_T7_OLA,SuChen2020.HCT116_WT_T0_2-HCT116_WT_Olap_2,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_MitoC_1,WeegenLuijsterburg2021.wt_illudins-elof1_illudins,DeWeirdtDoench2020_secondary.pDNA_pDNA-MCL1KO_anchor_Dropout,SuChen2020.HEK293A_WT_DMSO_1-HEK293A_WT_HU_1,WeegenLuijsterburg2021.elof1_init-elof1_nt_both,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_Camp_1,SuChen2020.HCT116_WT_DMSO_2-HCT116_WT_Olap_2,SuChen2020.HCT116_TP53ko_T0_2-HCT116_TP53ko_DMSO_2,DeWeirdtDoench2020_secondary.Control_Dropout-Control_S63845,SuChen2020.HEK293A_WT_T0_1-HEK293A_WT_CHK1i_1,GalloDurocher2022_TKOv2.WT_T18-CCNE1_T18,DeWeirdtDoench2020_secondary.Control_Dropout-MCL1KO_anchor_Dropout,GalloDurocher2022_TKOv2.WT_T0-WT_T18
SLC7A8,0.717,,,0.52,,,,,0.696,,,0.286,,,,,,0.757,,0.389
AJUBA,0.853,,,0.286,,,,,0.147,,,0.342,,,,,,0.0159,,0.441
UBE2T,0.247,,,0.32,0.912,,0.546,0.863,0.281,,0.608,0.652,0.62,0.771,0.313,,0.4,0.356,,0.664
AXIN1,0.174,,,0.0862,,,,,0.763,,,0.0823,,,,,,1.0,,0.00567
DUSP12,0.106,,,0.923,,,,,0.444,,,0.639,,,,,,0.349,,0.913
CXorf38,0.411,,,0.741,,,,,0.539,,,0.391,,,,,,0.174,,0.339
FRMD5,0.825,,,0.19,,,,,0.584,,,0.294,,,,,,0.971,,0.154
FRMD6,0.361,,,0.258,,,,,0.58,,,0.134,,,,,,0.679,,0.056
FANCE,0.531,,,0.488,0.703,,0.477,0.895,0.748,,0.28,0.47,0.533,0.741,0.271,,0.425,0.467,,0.225
HRNR,0.302,,,0.896,,,,,0.582,,,0.4,,,,,,0.321,,0.203
MCM3AP,0.087,,,0.228,,,,,0.334,,,0.944,,,,,,0.242,,0.923
KRT77,0.43,,,0.00455,,,,,0.469,,,0.478,,,,,,0.414,,0.473
HMCES,0.226,,,0.907,,,,,0.00153,,,0.52,,,,,,0.136,,0.594
GLRX3,0.257,,,0.181,,,,,0.45,,,0.732,,,,,,0.575,,0.904
GUCD1,0.703,,,0.88,,,,,0.564,,,0.537,,,,,,0.488,,0.461
DCAF6,0.281,,,0.436,,,,,0.177,,,0.389,,,,,,0.169,,0.597
TMEM158,0.573,,,0.273,,,,,0.959,,,0.328,,,,,,0.573,,0.524
SHF,0.0854,,,0.698,,,,,0.113,,,0.351,,,,,,0.634,,0.404
MARCO,0.641,,,0.272,,,,,0.59,,,0.377,,,,,,0.202,,0.143
MAGEC2,0.307,,,0.212,,,,,0.11,,,0.392,,,,,,0.79,,0.592
UBE2G1,0.63,,,1.0,,,,,8.13e-06,,,0.255,,,,,,0.826,,0.163
COG1,0.184,,,0.131,,,,,0.107,,,0.969,,,,,,0.0192,,0.996
MIEN1,0.501,,,0.872,,,,,0.952,,,0.445,,,,,,0.488,,0.765
UCHL1,0.441,,,0.201,,,,,0.202,,,0.301,,,,,,0.929,,0.275
SNRNP35,0.684,,,0.205,,,,,0.101,,,0.991,,,,,,0.0519,,0.954
WNT4,0.584,,,0.36,,,,,0.819,,,0.555,,,,,,0.0762,,0.871
EIF3K,0.373,,,0.348,,,,,0.715,,,0.51,,,,,,0.853,,0.811
NUP54,0.91,,,0.52,,,,,0.0217,,,0.944,,,,,,0.68,,0.983
SPC24,0.0487,,,0.428,0.301,,0.905,0.222,0.314,,0.101,0.985,0.84,0.507,0.957,,0.929,0.328,,1.0
SEM1,0.185,,,0.975,0.455,,0.82,0.575,0.568,,0.178,0.94,0.803,0.691,0.837,,0.775,0.379,,0.685
SEPTIN10,0.787,0.397,,0.202,,,,,0.649,0.409,,0.403,,,,0.623,,0.436,0.618,0.335
CD300LD-AS1,0.134,,,0.76,,,,,0.593,,,0.297,,,,,,0.807,,0.576
HOXB13,0.484,,,0.725,,,,,0.901,,,0.383,,,,,,0.682,,0.104
DEFB121,0.146,,,0.321,,,,,0.345,,,0.214,,,,,,0.663,,0.381
NAT1,0.661,,,0.701,,,,,0.574,,,0.334,,,,,,0.854,,0.209
RFC5,0.324,0.876,,0.377,0.573,,0.799,0.403,0.139,0.823,0.41,1.0,0.83,0.658,0.815,0.278,0.716,0.756,0.078,0.998
WRN,0.096,,,0.448,0.684,,0.944,0.493,0.611,,0.68,0.347,0.352,0.48,0.991,,0.297,0.573,,0.401
SPESP1,0.6,,,0.43,,,,,0.15,,,0.34,,,,,,0.772,,0.367
FAM106A,,,,0.0772,,,,,0.0992,,,0.726,,,,,,0.303,,0.959
FAM200A,0.916,,,0.773,,,,,0.775,,,0.343,,,,,,0.403,,0.734
RUNX2,0.0794,,,0.405,,,,,0.965,,,0.224,,,,,,0.808,,0.0836
ATG13,0.916,,,0.843,,,,,0.287,,,0.395,,,,,,0.529,,0.441
MYT1,0.0494,,,0.594,,,,,0.915,,,0.279,,,,,,0.289,,0.498
STARD7,0.196,,,0.0665,,,,,0.54,,,0.493,,,,,,0.927,,0.515
POGLUT2,0.911,,,0.185,,,,,0.452,,,0.271,,,,,,0.496,,0.249
PTRH2,,,,0.103,,,,,0.167,,,0.552,,,,,,0.92,,0.488
ECHDC2,0.879,,,0.942,,,,,0.964,,,0.545,,,,,,0.683,,0.627
PGAP3,0.531,,,0.174,,,,,0.447,,,0.477,,,,,,0.22,,0.268
MXRA7,0.866,,,0.793,,,,,0.481,,,0.513,,,,,,0.297,,0.399
PPP2R1A,0.35,0.987,,0.293,,,,,0.12,0.982,,0.927,,,,0.882,,0.673,0.259,0.994
SBK1,0.288,,,0.976,,,,,0.634,,,0.492,,,,,,0.264,,0.382
COPS5,0.774,0.905,,0.494,,,,,0.0102,0.956,,1.0,,,,0.721,,0.999,0.799,0.989
SAR1A,0.00132,,,0.327,,,,,0.795,,,0.278,,,,,,0.885,,0.355
PCBP2,0.277,,,0.705,,,,,0.0205,,,0.661,,,,,,0.846,,0.462
UFM1,0.382,,,0.209,,,,,0.0397,,,0.474,,,,,,0.959,,0.474
PLPPR5,0.421,,,0.728,,,,,0.468,,,0.385,,,,,,0.626,,0.556
MYO15A,0.811,,,0.0856,,,,,0.797,,,0.621,,,,,,0.891,,0.31
ETS2,0.766,,,0.165,,,,,0.111,,,0.13,,,,,,0.172,,0.52
TMEM41B,0.43,,,0.848,,,,,0.149,,,0.625,,,,,,0.928,,0.835
CHRNA9,0.062,,,0.865,,,,,0.805,,,0.285,,,,,,0.424,,0.708
ELOB,0.0294,0.961,,0.911,0.759,,0.9,0.79,0.0471,0.98,0.354,0.978,0.974,0.48,0.936,0.995,0.93,0.959,0.988,0.977
DECR1,0.647,,,0.22,,,,,0.884,,,0.383,,,,,,0.505,,0.182
NUP188,0.207,,,0.904,,,,,0.912,,,0.887,,,,,,0.129,,0.897
POM121,0.16,,,0.26,,,,,0.149,,,0.486,,,,,,0.747,,0.178
RNF113A,0.372,0.797,,0.967,,,,,0.523,0.889,,1.0,,,,0.906,,0.965,0.921,0.932
PHKG1,0.139,,,0.699,,,,,0.457,,,0.468,,,,,,0.445,,0.416
EIF5A2,0.697,,,0.217,,,,,0.46,,,0.355,,,,,,0.753,,0.682
ZNHIT3,0.0253,,,0.13,,,,,0.0285,,,0.999,,,,,,0.632,,0.999
FLCN,0.118,0.416,,0.454,,,,,0.543,0.397,,0.0798,,,,0.737,,0.906,0.537,0.0647
HSP90AB1,0.96,0.57,,0.519,,,,,0.536,0.967,,0.756,,,,0.521,,0.725,1.0,0.221
POLR1H,0.252,,,0.276,,,,,0.11,,,0.985,,,,,,0.683,,0.858
INTS7,0.547,,,0.0508,,,,,0.349,,,0.991,,,,,,0.584,,0.976
ARHGEF40,0.364,0.211,,0.999,,,,,0.49,0.169,,0.431,,,,0.35,,0.166,0.334,0.581
TTC28,0.11,,,0.239,,,,,0.423,,,0.295,,,,,,0.514,,0.551
PRICKLE2,0.889,,,0.857,,,,,0.993,,,0.367,,,,,,0.152,,0.291
KAT14,0.841,,,0.187,,,,,0.421,,,0.568,,,,,,0.997,,0.58
ZNF607,0.562,,,0.664,,,,,0.395,,,0.265,,,,,,0.703,,0.398
NPLOC4,0.48,,,0.245,,,,,0.00555,,,0.928,,,,,,1.0,,0.864
USP18,0.172,,,0.727,,,,,0.877,,,0.622,,,,,,0.997,,0.503
CTCFL,0.0992,,,0.837,,,,,0.331,,,0.361,,,,,,0.342,,0.264
ALOX12B,0.0485,,,0.256,,,,,0.989,,,0.406,,,,,,0.288,,0.271
USP1,0.0791,,,0.242,0.613,,0.506,0.598,0.832,,0.237,0.617,0.605,0.642,0.304,,0.42,0.0229,,0.916
MTX1,0.201,,,0.582,,,,,0.907,,,0.797,,,,,,0.187,,0.753
MRGBP,0.0511,,,0.817,,,,,0.0603,,,0.625,,,,,,0.581,,0.885
ATP2B4,0.253,,,0.742,,,,,0.572,,,0.491,,,,,,0.569,,0.372
CAND2,0.182,,,0.501,,,,,0.878,,,0.496,,,,,,0.822,,0.298
CCNB3,0.984,,,0.0642,,,,,0.091,,,0.386,,,,,,0.789,,0.176
HTR4,0.226,,,0.369,,,,,0.218,,,0.265,,,,,,0.472,,0.435
ASB10,0.749,,,0.7,,,,,0.768,,,0.438,,,,,,0.354,,0.186
ZNF330,0.57,,,0.546,,,,,0.203,,,0.308,,,,,,0.332,,0.48
FRYL,0.788,,,0.726,,,,,0.992,,,0.0534,,,,,,1.0,,0.000113
ASH2L,0.0795,,,0.0884,,,,,0.0143,,,0.716,,,,,,0.698,,0.76
SLC1A5,0.854,,,0.207,,,,,0.0814,,,0.477,,,,,,0.752,,0.154
EXOSC3,0.267,,,0.675,,,,,0.135,,,0.999,,,,,,0.831,,0.936
DMPK,0.664,,,0.781,,,,,0.861,,,0.392,,,,,,0.619,,0.57
THAP10,0.164,,,0.978,,,,,0.729,,,0.269,,,,,,0.241,,0.428
FGF7,0.183,,,0.171,,,,,0.383,,,0.267,,,,,,0.935,,0.255
DYNC1H1,0.973,,,0.9,,,,,0.0572,,,0.999,,,,,,0.435,,1.0
RAPGEF4,0.226,,,0.852,,,,,0.515,,,0.441,,,,,,0.401,,0.43
ERCC2,0.726,,,0.0067,0.413,,0.758,0.673,0.0382,,0.115,0.998,0.826,0.576,0.773,,0.898,0.414,,0.99
SERBP1,0.555,,,0.0629,,,,,0.0191,,,0.526,,,,,,0.922,,0.449
AIP,0.456,,,0.837,,,,,0.6,,,0.631,,,,,,0.933,,0.1
MX2,0.958,,,0.449,,,,,0.513,,,0.358,,,,,,0.708,,0.376
RRP1B,0.652,,,0.486,,,,,0.737,,,0.35,,,,,,0.204,,0.412
ARHGAP29,0.26,0.429,,0.406,,,,,0.0132,0.362,,0.376,,,,0.416,,1.0,0.239,0.0772
RNF32-DT,,,,0.249,,,,,0.856,,,0.258,,,,,,0.052,,0.387
PLEKHJ1,0.977,,,0.652,,,,,0.116,,,0.407,,,,,,0.987,,0.416
TSGA10,0.62,,,0.241,,,,,0.412,,,0.36,,,,,,0.372,,0.466
CCDC181,0.641,,,0.97,,,,,0.228,,,0.375,,,,,,0.478,,0.459
NPRL2,0.57,,,0.726,,,,,0.68,,,0.434,,,,,,0.678,,0.165
ZNF280B,0.471,,,0.927,,,,,0.323,,,0.44,,,,,,0.147,,0.445
INTS8,0.344,0.748,,0.0704,,,,,0.967,0.773,,1.0,,,,0.562,,0.532,0.514,0.999
FOXO1,0.495,,,0.935,,,,,0.955,,,0.372,,,,,,0.466,,0.141
SOCS7,0.327,,,0.333,,,,,0.928,,,0.446,,,,,,0.982,,0.192
ACTR6,0.717,,,0.998,,,,,0.00626,,,0.981,,,,,,0.976,,0.991
ELOF1,0.00854,,,0.841,,,,,4.93e-07,,,0.319,,,,,,0.000461,,0.927
DNAJC9,0.878,0.999,,1.0,,,,,0.258,0.999,,1.0,,,,0.322,,0.997,0.146,1.0
KRT25,0.473,,,0.647,,,,,0.371,,,0.407,,,,,,0.822,,0.0823
ZNF593,0.601,0.445,,0.999,,,,,0.713,0.519,,0.512,,,,0.43,,0.665,0.732,0.391
NMS,0.573,,,0.613,,,,,0.359,,,0.373,,,,,,0.715,,0.354
N6AMT1,0.133,,,0.137,,,,,0.045,,,0.827,,,,,,0.893,,0.761
LAMP5,0.397,,,0.995,,,,,0.714,,,0.289,,,,,,0.0172,,0.416
POLE4,0.498,,,0.777,0.998,,0.933,0.973,0.258,,0.995,0.516,0.878,0.998,0.255,,0.783,0.718,,0.442
DUT,0.0739,,,0.0185,0.391,,0.906,0.581,0.00238,,0.255,0.965,0.768,0.56,0.965,,0.793,1.0,,0.768
ZNHIT1,0.645,,,0.923,,,,,0.326,,,0.696,,,,,,0.995,,0.827
TMEM214,0.317,,,0.977,,,,,0.707,,,0.379,,,,,,0.739,,0.387
CHAF1A,0.864,,,0.602,0.138,,0.566,0.0618,0.154,,0.0182,0.999,0.482,0.187,0.723,,0.811,0.42,,0.953
CPT1A,0.184,,,0.236,,,,,0.35,,,0.37,,,,,,0.0552,,0.324
PYGL,0.866,,,0.91,,,,,0.423,,,0.389,,,,,,0.402,,0.546
ATP2B3,0.667,,,0.435,,,,,0.296,,,0.416,,,,,,0.0354,,0.513
GHDC,0.204,,,0.937,,,,,0.0475,,,0.55,,,,,,0.56,,0.644
SOGA1,0.585,,,0.136,,,,,0.782,,,0.315,,,,,,0.366,,0.371
ADCYAP1R1,0.764,,,0.42,,,,,0.893,,,0.385,,,,,,0.432,,0.343
WDR4,0.784,,,0.14,,,,,0.0214,,,0.775,,,,,,0.373,,0.975
EEF2,0.738,,,0.762,,,,,0.231,,,1.0,,,,,,0.742,,1.0
FBN3,0.951,,,0.678,,,,,0.898,,,0.472,,,,,,0.507,,0.218
GPR15,0.717,,,0.363,,,,,0.163,,,0.341,,,,,,0.75,,0.233
SCNN1G,0.127,,,0.773,,,,,0.586,,,0.47,,,,,,0.83,,0.153
CAPZB,0.233,,,0.156,,,,,0.0388,,,0.654,,,,,,1.0,,0.0542
TMEM212,0.441,,,0.176,,,,,0.597,,,0.266,,,,,,0.377,,0.341
NDUFB7,0.452,0.538,,0.633,,,,,0.248,0.375,,0.835,,,,0.223,,0.748,0.0221,0.647
SRSF5,0.914,,,0.0751,,,,,0.185,,,0.334,,,,,,0.253,,0.718
COQ10A,0.112,,,0.169,,,,,0.615,,,0.555,,,,,,0.205,,0.677
NUFIP2,0.56,,,0.22,,,,,0.925,,,0.714,,,,,,0.277,,0.443
CORO2B,0.819,,,0.00716,,,,,0.395,,,0.315,,,,,,0.58,,0.313
PLCXD2,0.19,,,0.576,,,,,0.237,,,0.315,,,,,,0.347,,0.257
PDK4,0.836,,,0.784,,,,,0.73,,,0.311,,,,,,0.0877,,0.312
EXT2,0.153,,,0.609,,,,,0.635,,,0.551,,,,,,0.935,,0.452
SUCO,0.987,,,0.647,,,,,0.723,,,0.788,,,,,,0.513,,0.883
NFIL3,0.326,,,0.664,,,,,0.0306,,,0.349,,,,,,0.208,,0.216
STX10,0.374,,,0.893,,,,,0.836,,,0.354,,,,,,0.291,,0.614
ZSWIM5,0.214,,,0.719,,,,,0.501,,,0.416,,,,,,0.433,,0.415
RPA2,0.993,,,0.369,0.741,,0.978,0.569,0.672,,0.422,1.0,0.889,0.576,0.965,,0.957,0.0163,,1.0
ATP6V0E1,0.166,,,0.82,,,,,0.154,,,0.332,,,,,,0.841,,0.429
VCPKMT,0.578,,,0.506,,,,,0.211,,,0.439,,,,,,0.112,,0.796
CRP,0.291,,,0.883,,,,,0.692,,,0.448,,,,,,0.632,,0.178
CCDC146,0.0438,,,0.553,,,,,0.114,,,0.32,,,,,,0.642,,0.541
MYG1,0.357,,,0.325,,,,,0.836,,,0.602,,,,,,0.0664,,0.716
CHST14,0.392,,,0.259,,,,,0.315,,,0.315,,,,,,0.628,,0.486
NACAD,0.613,,,0.543,,,,,0.491,,,0.379,,,,,,0.135,,0.611
ORAI1,0.267,,,0.301,,,,,0.548,,,0.389,,,,,,0.844,,0.359
CDK5R1,0.936,,,0.0617,,,,,0.964,,,0.559,,,,,,0.496,,0.822
USP15,0.769,,,0.795,,,,,0.434,,,0.788,,,,,,0.776,,0.703
DUSP4,0.213,0.998,,0.252,,,,,0.682,0.996,,0.299,,,,0.949,,0.239,0.297,0.139
KCNJ2,0.138,0.17,,0.287,,,,,0.813,0.237,,0.291,,,,0.103,,0.685,0.777,0.339
KSR1,0.136,,,0.244,,,,,0.631,,,0.409,,,,,,0.416,,0.417
SOAT2,0.211,,,0.571,,,,,0.182,,,0.655,,,,,,0.606,,0.667
PSMB8,0.919,,,0.75,,,,,0.667,,,0.286,,,,,,0.592,,0.435
COPS7A,0.388,,,0.354,,,,,0.00986,,,0.22,,,,,,1.0,,0.242
KIRREL1,0.805,,,0.217,,,,,0.977,,,0.0167,,,,,,0.894,,3.12e-05
NEURL4,0.0183,,,0.308,,,,,0.024,,,0.434,,,,,,0.85,,0.569
PIN4,0.675,,,0.469,,,,,0.558,,,0.501,,,,,,0.82,,0.654
PPM1F,0.361,,,0.216,,,,,0.261,,,0.225,,,,,,0.772,,0.0651
HIGD1B,0.0503,,,0.441,,,,,0.0767,,,0.602,,,,,,0.146,,0.407
TADA2A,0.878,0.611,,0.0209,,,,,0.8,0.511,,0.766,,,,0.625,,0.988,0.164,0.765
RNASE3,0.508,,,0.318,,,,,0.329,,,0.371,,,,,,0.689,,0.219
IKZF3,0.461,,,0.568,,,,,0.665,,,0.474,,,,,,0.401,,0.6
MAP3K12,0.406,,,0.0491,,,,,0.634,,,0.389,,,,,,0.941,,0.348
TTC39C,0.109,,,0.672,,,,,0.332,,,0.394,,,,,,0.631,,0.411
AHSA1,0.629,,,0.153,,,,,0.207,,,0.291,,,,,,0.681,,0.293
XRN1,0.146,,,0.984,,,,,0.00997,,,0.841,,,,,,0.891,,0.647
KPRP,0.455,0.271,,0.212,,,,,0.826,0.28,,0.666,,,,0.402,,0.526,0.584,0.472
PSMG3,0.853,,,0.534,0.318,,0.996,0.528,0.077,,0.251,1.0,0.956,0.593,0.999,,0.981,0.6,,1.0
FAAP20,0.112,,,0.218,0.446,,0.474,0.449,0.331,,0.457,0.607,0.496,0.376,0.428,,0.526,0.385,,0.652
COPS2,0.297,,,0.924,,,,,0.0123,,,0.997,,,,,,1.0,,0.704
C4BPA,0.632,,,0.115,,,,,0.773,,,0.382,,,,,,0.578,,0.442
OR5T3,0.752,,,0.326,,,,,0.0881,,,0.346,,,,,,0.788,,0.0813
IGBP1,0.285,,,0.14,,,,,0.193,,,0.999,,,,,,0.954,,0.987
STXBP6,0.385,,,0.615,,,,,0.0221,,,0.272,,,,,,0.541,,0.371
ZNF106,0.392,,,0.975,,,,,0.117,,,0.384,,,,,,0.711,,0.308
TWIST1,0.505,,,0.671,,,,,0.664,,,0.343,,,,,,0.82,,0.718
NXF1,0.979,,,0.404,,,,,0.0642,,,1.0,,,,,,0.732,,0.638
CRCP,0.638,,,0.844,,,,,0.433,,,0.999,,,,,,0.439,,0.999
ZNF101,0.948,,,0.283,,,,,0.363,,,0.684,,,,,,0.366,,0.273
COX7A2,0.767,0.279,,0.817,,,,,0.299,0.236,,0.584,,,,0.415,,0.835,0.342,0.589
ADPGK,0.543,,,0.897,,,,,0.0721,,,0.316,,,,,,0.903,,0.299
DFFA,0.767,,,0.115,,,,,0.789,,,0.378,,,,,,0.447,,0.0775
S1PR5,0.536,,,0.862,,,,,0.688,,,0.419,,,,,,0.382,,0.471
NKD2,0.773,,,0.339,,,,,0.21,,,0.436,,,,,,0.39,,0.493
HTRA4,0.716,,,0.358,,,,,0.695,,,0.391,,,,,,0.0467,,0.427
DCLRE1C,0.305,,,0.0545,0.713,,0.219,0.667,0.48,,0.888,0.392,0.392,0.265,0.273,,0.267,0.759,,0.342
RETREG3,0.274,,,0.509,,,,,0.725,,,0.543,,,,,,0.0194,,0.802
UBXN1,0.245,,,0.39,,,,,0.59,,,0.405,,,,,,0.661,,0.462
GINS4,0.258,,,0.577,,,,,0.0031,,,0.941,,,,,,0.303,,0.992
ANK3,0.578,0.155,,0.849,,,,,0.216,0.162,,0.337,,,,0.294,,0.0171,0.608,0.325
MASTL,0.166,,,0.125,,,,,0.0133,,,1.0,,,,,,0.0371,,0.999
POLD2,0.000538,0.992,,0.4,0.284,,0.932,0.642,0.136,0.985,0.0276,0.997,0.844,0.628,0.97,0.868,0.895,0.14,0.139,1.0
TLCD1,0.922,,,0.781,,,,,0.356,,,0.745,,,,,,0.972,,0.541
ZDHHC24,0.285,,,0.539,,,,,0.999,,,0.479,,,,,,0.12,,0.506
HIPK4,0.0975,,,0.2,,,,,0.906,,,0.406,,,,,,0.527,,0.255
TROAP,0.395,,,0.248,,,,,0.116,,,0.532,,,,,,0.12,,0.526
RAD17,0.954,,,1.0,0.624,,0.888,0.815,0.0737,,0.849,0.895,0.798,0.848,0.828,,0.944,0.688,,0.954
UBA5,0.794,0.767,,0.797,,,,,0.00135,0.716,,0.755,,,,0.415,,0.52,0.164,0.705
PNMA8A,0.74,,,0.895,,,,,0.804,,,0.366,,,,,,0.858,,0.281
RER1,0.682,,,0.56,,,,,0.168,,,0.668,,,,,,0.52,,0.86
ENTHD1,0.539,,,0.365,,,,,0.807,,,0.426,,,,,,0.189,,0.667
BRINP2,0.582,,,0.835,,,,,0.506,,,0.321,,,,,,0.174,,0.592
C1GALT1,0.467,,,0.205,,,,,0.788,,,0.313,,,,,,0.71,,0.167
FAM170B,0.0892,,,0.746,,,,,0.902,,,0.366,,,,,,0.949,,0.474
RUNX1T1,0.496,,,0.361,,,,,0.6,,,0.31,,,,,,0.0937,,0.252
ETFA,0.0849,,,0.225,,,,,0.377,,,0.271,,,,,,0.87,,0.161
CACNG1,0.67,0.275,,0.522,,,,,0.322,0.278,,0.334,,,,0.407,,0.488,0.54,0.589
GORAB,0.713,,,0.215,,,,,0.796,,,0.519,,,,,,0.262,,0.283
RNASE11,0.827,,,0.302,,,,,0.843,,,0.294,,,,,,0.529,,0.392
PEX11A,0.703,,,0.301,,,,,0.249,,,0.297,,,,,,0.886,,0.247
OR7C1,0.0185,,,0.818,,,,,0.466,,,0.438,,,,,,0.377,,0.345
CHSY1,0.808,,,0.785,,,,,0.873,,,0.292,,,,,,0.234,,0.43
PLXND1,0.888,,,0.457,,,,,0.645,,,0.294,,,,,,0.497,,0.134
RSKR,0.32,,,0.662,,,,,0.215,,,0.609,,,,,,0.958,,0.474
STAT1,0.241,0.215,,0.255,,,,,0.264,0.257,,0.374,,,,0.0614,,0.871,0.555,0.455
TELO2,0.563,,,0.714,0.805,,0.668,0.657,0.000635,,0.532,0.985,0.909,0.567,0.657,,0.846,0.319,,1.0
ARL8A,0.0987,,,0.509,,,,,0.227,,,0.402,,,,,,0.779,,0.424
USP36,0.888,,,0.788,,,,,0.0827,,,0.741,,,,,,0.75,,0.664
RALGPS1,0.658,,,0.227,,,,,0.677,,,0.327,,,,,,0.477,,0.37
GABRB2,0.368,,,0.355,,,,,0.18,,,0.391,,,,,,0.211,,0.355
BOD1L1,0.0203,0.645,,0.716,,,,,0.665,0.601,,0.923,,,,0.941,,0.123,0.54,0.981
MAP3K8,0.0257,,,0.526,,,,,0.316,,,0.244,,,,,,0.687,,0.165
STAT5B,0.384,,,0.564,,,,,0.964,,,0.51,,,,,,0.731,,0.609
ADRA2A,0.0174,,,0.19,,,,,0.894,,,0.37,,,,,,0.665,,0.377
MPST,0.798,,,0.433,,,,,0.658,,,0.376,,,,,,0.463,,0.655
GFPT1,0.242,,,0.194,,,,,0.195,,,0.34,,,,,,0.902,,0.498
KLHL10,0.101,,,0.0762,,,,,0.57,,,0.517,,,,,,0.581,,0.519
VPS13B,0.648,,,0.539,,,,,0.636,,,0.412,,,,,,0.731,,0.257
FBH1,0.209,,,0.206,,,,,0.599,,,0.306,,,,,,0.647,,0.399
ORM1,0.118,,,0.0569,,,,,0.63,,,0.353,,,,,,0.746,,0.2
ERN2,0.572,,,0.0169,,,,,0.479,,,0.435,,,,,,0.84,,0.495
OGA,0.38,,,0.34,,,,,0.0226,,,0.566,,,,,,0.985,,0.427
TNIK,0.0412,,,0.619,,,,,0.546,,,0.372,,,,,,0.486,,0.301
CTDNEP1,0.909,,,0.0799,,,,,0.0164,,,0.996,,,,,,0.0318,,1.0
SNAPC4,0.625,,,0.689,,,,,0.0152,,,0.998,,,,,,0.0968,,0.892
HDDC3,0.56,0.237,,0.758,,,,,0.432,0.23,,0.278,,,,0.63,,0.451,0.609,0.207
ITGAL,0.44,,,0.264,,,,,0.462,,,0.435,,,,,,0.409,,0.281
TRIP12,0.292,0.113,,0.368,,,,,0.57,0.388,,0.269,,,,0.456,,0.764,1.0,0.283
GATAD2A,0.974,,,0.66,,,,,0.283,,,0.692,,,,,,0.946,,0.181
SCG3,0.765,,,0.14,,,,,0.0305,,,0.328,,,,,,0.965,,0.143
MOGS,0.427,,,0.659,,,,,0.844,,,0.765,,,,,,0.948,,0.61
CCM2,0.249,,,0.244,,,,,0.996,,,0.476,,,,,,1.0,,0.0612
ARHGAP35,0.431,,,0.126,,,,,0.18,,,0.149,,,,,,0.464,,0.111
PIF1,0.578,,,0.311,0.283,,0.257,0.908,0.598,,1.0,0.283,0.146,0.262,0.298,,0.24,0.278,,0.555
PTCRA,0.246,,,0.0757,,,,,0.506,,,0.434,,,,,,0.709,,0.241
MAP2K4,0.851,,,0.489,,,,,0.31,,,0.319,,,,,,0.36,,0.658
CLEC4F,0.888,,,0.508,,,,,0.338,,,0.395,,,,,,0.926,,0.272
RNF40,0.291,,,0.371,,,,,0.00627,,,0.938,,,,,,0.0834,,0.975
TMTC1,0.954,,,0.193,,,,,0.935,,,0.388,,,,,,0.514,,0.298
SULT1A2,0.677,,,0.82,,,,,0.732,,,0.304,,,,,,0.462,,0.269
KLHDC1,0.657,,,0.105,,,,,0.29,,,0.457,,,,,,0.397,,0.552
PLEKHF2,0.3,,,0.598,,,,,0.854,,,0.389,,,,,,0.717,,0.308
PLPP7,0.618,,,0.0468,,,,,0.55,,,0.422,,,,,,0.627,,0.639
XRCC6,0.846,,,0.351,0.952,,0.887,0.722,0.0536,,0.688,1.0,0.966,0.659,0.821,,0.751,0.11,,0.999
C15orf61,0.113,,,0.0377,,,,,0.929,,,0.197,,,,,,0.306,,0.241
BCLAF1,0.232,,,0.888,,,,,0.372,,,0.688,,,,,,0.454,,0.857
CST9L,0.484,,,0.499,,,,,0.733,,,0.493,,,,,,0.473,,0.54
HEPHL1,0.282,,,0.434,,,,,0.0661,,,0.446,,,,,,0.489,,0.311
PCDHB3,0.781,,,0.00771,,,,,0.998,,,0.343,,,,,,0.0974,,0.883
CSNK1G1,0.351,,,0.405,,,,,0.324,,,0.433,,,,,,0.869,,0.241
KIN,0.229,,,0.2,,,,,0.381,,,1.0,,,,,,0.781,,0.85
SMIM12,0.0948,0.206,,0.304,,,,,0.818,0.169,,0.376,,,,0.591,,0.999,0.468,0.0722
PLOD3,0.754,0.272,,0.715,,,,,0.556,0.248,,0.39,,,,0.671,,0.777,0.526,0.663
SAMD11,0.156,,,0.257,,,,,0.782,,,0.385,,,,,,0.161,,0.348
CISH,0.795,,,0.873,,,,,0.777,,,0.371,,,,,,0.579,,0.309
